class_id,class_name,n_gt_px,f_score
0,plane,64509,0.06200348257954972
1,ship,5474,0.03657898984518164
2,storage-tank,5526,0.031552833608029414
3,baseball-diamond,19516,0.025946411356197022
4,tennis-court,194379,0.08813979922393278
5,basketball-court,12744,0.0664350671146844
6,ground-track-field,29502,0.02510386956171424
7,harbor,140055,0.07520465875883289
8,bridge,7670,0.059743731935688854
9,large-vehicle,86840,0.05245688803177843
10,small-vehicle,115861,0.06977246853077268
11,helicopter,0,
12,roundabout,10922,0.023609191380117123
13,soccer-ball-field,27994,0.033839643284137765
14,swimming-pool,52001,0.07820511049237451
