name,edge_pixel_frac,mean_response
P0063,0.6829977035522461,93.21970653533936
P0081,0.32358360290527344,40.97483444213867
P0198,0.5941877365112305,72.74959468841553
P0308,0.3183441162109375,36.02647399902344
P0336,0.27603721618652344,34.89156150817871
P0345,0.3182497024536133,35.59547233581543
P0363,0.45907020568847656,53.09226608276367
P0368,0.4402322769165039,52.609984397888184
P0377,0.45037078857421875,52.60087871551514
P0452,0.42011260986328125,52.18121147155762
P0517,0.5276975631713867,63.8881950378418
P0565,0.28060340881347656,31.4296932220459
P0649,0.22095108032226562,25.591439247131348
P0699,0.21464061737060547,26.456509590148926
P0806,0.5641565322875977,64.7551851272583
P1003,0.2609281539916992,29.455900192260742
P1029,0.4370241165161133,51.450937271118164
P1148,0.6031513214111328,58.15746307373047
P1158,0.5665798187255859,53.55203151702881
P1207,0.0003223419189453125,0.20431995391845703
P1216,0.3128786087036133,30.8548583984375
P1242,0.513453483581543,50.82458972930908
P1358,0.7208824157714844,72.45930099487305
P1522,0.38204097747802734,38.213006019592285
P1676,0.22124385833740234,24.12557601928711
P1693,0.3090066909790039,28.727060317993164
P1960,0.45476245880126953,55.77759552001953
P2002,0.5211782455444336,68.2974042892456
P2045,0.24603557586669922,28.39231014251709
P2210,0.5982847213745117,69.85182476043701
P2257,0.3753175735473633,42.750550270080566
P2278,0.32372474670410156,36.14082431793213
P2332,0.6416559219360352,62.8070011138916
P2352,0.6445484161376953,66.64471530914307
P2456,0.5206508636474609,57.49058818817139
P2528,0.47316932678222656,51.85722064971924
P2591,0.5201129913330078,61.07665538787842
P2613,0.26600074768066406,35.198829650878906
P2724,0.5484886169433594,51.18782711029053
P2754,0.6492204666137695,70.24852561950684
